"Pathway","Genes","Category"
"transcription by RNA polymerase II","POLR2B,LEF1,NOCT,MAPK14,TAF12,POLR2L,NFIX,NFATC4,NFE2L3,GTF2IRD1,SUPT3H,AIRE,PIK3R1,NFIL3,CCDC124,PAXBP1,POLR2J3,THRA,TAL1,MAF,NKX2-5,PDX1,FAM170A,CD28,TAF5L,MED4,XBP1,CEBPD,PRDM4,GTF2E2,GTF2E1,GTF2A2,CEBPB,GMEB2,DEAF1,GTF2A1,ARRB2,LHX1,SNAPC3,SMAD1,MNAT1,CCNH,RBMX,POLR2I,WWP2,RREB1,STAT5B,GTF2H4,BCL9,MYOCD,EP300,DEK,MYOD1,NFX1,TAF10,ETV1,GTF2F2,TSC22D1,SUPT16H,DTX1,NCAPG2,TAF4,FOXP3,TCEA1,NKX2-3,GTF2F1,CTNNB1,GCM2,TRIP13,TRIP11,ETV7,RB1,ZNF345,EDN1,TBP,TBPL1,GLIS3,AR,HSF2BP,MBD1,KLF13,MED16,SPDEF,TP63,NR4A1,SLC40A1,ABT1,GCM1,DRAP1,GATA1,ARID4B,YBX2,HIF3A,GDF2,POLR2G,IRF1,CCNK,POLR2J,POLR2H,PAX1,TFAP2D,FOXA3,HELT,TBPL2,PAX5,HOXD13,INHBA,BCL6,GATA3,GATA2,CHD7,IRF9,JAK2,BARX2,POLR2C,CDK9,GTF2B,GTF2H3,POLR2K,PTF1A,GTF2A1L,ASH1L,SOX5,CDK7,BCL11B,PMF1,TFDP1,HNF4A,IL2,ABRA,PTH,ATOH1,NFIC,SCAF1,NFYA,CDK12,ATF4,NDP,SRF,NFAT5,WNT10B,ELL3,MNT,TBX5,ERCC2,NR4A2,GRHL3,PROX1,ZNF141,FOSB,TAF1,MSX1,CBFB,PKNOX1,ERCC6,POLR2A,LDB1,NKX6-1,FOS,TAF1A,TAF1C,TEAD2,TAF7,TAF11,TAF13,SOX9,PIR,ABLIM3,HOXA13,ELOA2,PAX6,PLAC8,RPAP1,POLR2F,COPS2,NR1H4,POLR2J2,TRIM24,ZBTB7B,HDAC3,NR5A1,GTF2H2,TAF9B,NOTCH1,WNT3A,NEUROD1,NKX3-2,GTF2I,CYTL1,DDX21,KPNA6,MED20,ERCC3,TNFRSF1A,PRRX1,GTF2H1,ATXN1L,ADRB2,CCNT2,HAMP,CCNT1,POLR2E,BMP4,BMP2,ZNF768,TAF6,ARID4A,CELA1,GSX1,SQSTM1,HJV,PARP1,ISL1,SNAPC2,SMAD4,NKX2-8,NFKB1,ATRX,GTF2H5,TFAP2B,BCL9L,FGF2,KLF4,TCFL5,POLR2D,NFATC2,FOXE3","GO"
"transcription by RNA polymerase III","GTF3C3,GTF3C5,IVNS1ABP,CRCP,SNAPC3,BRF1,GTF3C2,ZNF345,TBP,POLR3K,POLR3H,RO60,POLR2H,POLR3G,POLR3F,GTF3C4,POLR2K,GTF3C1,POLR3A,GTF3C6,GTF3A,POLR1C,POLR3B,POLR1D,POLR2E,POLR3GL,SNAPC2","GO"
"transcription elongation by RNA polymerase I","POLR1F,ERCC2,ERCC6,POLR1E,GTF2H5,POLR1D,POLR2E","GO"
"transcription elongation by RNA polymerase II","ADRM1,PCID2,ELP4,TCEA3,SUPT4H1,ELOB,GTF2F2,SUPT16H,SUPT5H,TCEA1,GTF2F1,EAF1,CTDP1,EAF2,ELOF1,ELL2,SOX10,CDK9,ELOA,CDC73,PAF1,ELL3,PBRM1,SETD2,ELP2,SUPT6H,TCEA2,LEO1,ELOA2,ELL,POLR2M,SKIC8,RTF1,ERCC3,ENY2,CTR9","GO"
"transcription elongation by mitochondrial RNA polymerase","TEFM","GO"
"transcription elongation-coupled chromatin remodeling","SUPT5H,GLYR1,USP15,EPOP,CDK9,SUPT6H,SART3,IWS1","GO"
"transcription initiation at RNA polymerase I promoter","UBTF,RRN3P2,TAF1,TAF1C,CAVIN1,RRN3,RRN3P1","GO"
"transcription initiation at RNA polymerase II promoter","TAF12,MED7,GTF2E2,GTF2E1,GTF2A2,MAZ,CCNH,POLR2I,ELOB,ELOC,TAF10,GTF2F2,TAF4,GTF2F1,E2F3,TBP,MED23,MED26,POLR2G,PPARGC1A,CDK9,GTF2B,ELOA,GTF2A1L,MED27,E2F2,CDK7,PAAF1,TAF8,TAF4B,TAF1,TAF7,TAF11,TAF13,TAF5,GTF2H2,GTF2H5,TAF2,ERCC3,TAF6,MED17,POLR2D","GO"
"transcription initiation at RNA polymerase III promoter","GTF3C5,CRCP,BRF1,POLR3H,SNAPC5,GTF3C4,GTF3C1","GO"
"transcription initiation at mitochondrial promoter","TFAM,TFB1M,POLRMT,TFB2M","GO"
"transcription initiation-coupled chromatin remodeling","TRMT112,CTCFL,SMARCD1,BRD7,ASH2L,MACROH2A1,MYOCD,EP300,N6AMT1,MEN1,NOC2L,KAT7,GLYR1,ARID1B,USP21,PHF2,SGF29,SMARCB1,ARID1A,ATF2,KAT2B,VPS72,RBBP5,WDR5,SMARCA4,FAM47E,KMT2A,TP53,SIRT7,SPHK2,WBP2,PADI2,KAT8,DPY30,SPI1,RBM14","GO"
"transcription open complex formation at RNA polymerase II promoter","GTF2E1","GO"
"transcription preinitiation complex assembly","BRF1,NFKBIZ,BRF2","GO"
"transcription termination site sequence-specific DNA binding","XRN2,SETX","GO"
"transcription-coupled nucleotide-excision repair","POLR2I,XAB2,ERCC5,USP7,UVSSA,ERCC2,ERCC6,ERCC3,ERCC8","GO"
"transcriptional start site selection at RNA polymerase II promoter","GTF2B","GO"
"transforming growth factor beta production","ITGB6,ITGAV","GO"
"transforming growth factor beta1 activation","NRROS,PSG9","GO"
"transforming growth factor beta1 production","CD2AP,FOXP3,COL3A1","GO"
"translation","HARS1,MRPL23,RPL35,RPL31,RPL39,RPL30,FAU,MRRF,RPS28,RPS26,RPS24,RPS15,RPL23,RPS4Y1,RPL34,RSL24D1,RPS2,SARS1,HARS2,RPL41,RPL8,RPL32,RPL10A,EEF1A1P5,MRPL18,EGFR,RPS27,RPS25,RPL29,MRPL11,DHPS,MRPS16,RPL19,MRPL42,RPS27A,RPL3L,MRPL41,RPL24,COPS5,RPS21,GSPT1,AIMP1,RPS12,RPL12,RPS29,GUF1,RPL22,MRPS18A,RPS27L,RPLP2,RPLP1,AGO2,HBS1L,CPEB3,MRPS18C,YARS2,RPL14,RPS11,RPS13,RPS18,RPS23,RPS14,EEF1E1,RPL39L,RPL39P5,RPS6,RPL23A,EIF4G1,RPS4X,MRPS7,MRPS17,MRPS33,MRPS6,RPS6KB2,MRPS21,MRPS15,MRPS11,RPL7A,RPS26P11,MRPL27,MRPL36,MRPL12,RPL36,RPL3,RPL10,RPS19,RPL11,METTL17,PAIP2,LARP4,EIF2AK2,RPL18A,RPL36AL,RPS3,WARS1,CPEB2,RPL28,RPS9,RPS10,SRBD1,RPL17,RMND1,GEMIN5,RPS17,RRBP1,MRPS5,ZAR1L,RPL18,RPL6,RPL13A,MRPL51,RPS20,RPL37,RPL37AP8,ABCF1,MRPL10,MRPL55,MRPL24,EEF1A2,RPL35A,RPL7,RPL37A,MRPL37,CPEB1,ASMT,MRPL52,MRPS18B,RPL36A,IGF2BP3,RPL38,GSPT2,RPS4Y2,RPL13,TNIP1,RPL4,RPSA,MRPL35,RPL26,RPS3A,MRPS12,MRPL22,AIMP2,MRPL28,PABPC4,RPS5,RPL21,RPL5,RPL27A,PDF,DARS1,MRPL9,MRPL13,MRPL32,EEF1A1,EIF4EBP2,EIF4ENIF1,RPL9,CPEB4,RPS7,RPSA2,RPLP0,RPL10L,MRPS14,ZAR1,RPL27,RPL15,MRPL43,RPL13AP3,PSTK,MRPL34,FARSB,MRPL3,RPS16,RPS15A,RPS8","GO"
"translation at presynapse","RPL22","GO"
"translation elongation factor activity","EEF1A1P5,TUFM,EEFSEC,EIF5A,EEF1G,EEF2,HBS1L,GFM2,ABTB1,TSFM,EFL1,EEF1B2,GTPBP1,EEF1A2,EIF5AL1,EFTUD2,GTPBP2,GFM1,EIF5A2,EEF1A1,EEF1DP3,EEF1D","GO"
"translation factor activity, RNA binding","EIF4G3,MTIF3,EIF4A1,CPEB3,EIF4G1,EIF2S3,EIF1,CPEB2,EIF2S2,EIF1AX,EIF2B3,ABCF1,EEF1A2,CPEB1,EEF2K,GCN1,EIF4H,EIF4G2,CPEB4,EEF1D,EIF4E2,MTIF2","GO"
"translation initiation factor activity","EIF3L,DENR,EIF2B4,EIF3J,EIF3G,MCTS1,EIF4G3,MTIF3,EIF2B2,EIF3C,EIF3F,COPS5,EIF3A,EIF4A1,DHX29,EIF5,AGO2,EIF2S3B,EIF4G1,EIF3K,EIF2S3,EIF1,EIF4E3,EIF2A,EIF1AD,EIF3E,EIF2S1,EIF2S2,EIF4E1B,EIF1AX,EIF4A2,EIF2B1,EIF2B3,EIF3B,EIF3CL,EIF4B,EIF1AY,EIF4E,EIF3M,EIF4H,EIF6,EIF3I,EIF2B5,EIF3H,EIF3D,EIF2D,EIF4G2,EIF4E2,EIF5B,EIF1B,MTIF2","GO"
"translation reinitiation","DENR,EIF3A","GO"
"translation release factor activity","MTRF1L,MTRF1,GSPT1,MTRFR,ETF1,GSPT2","GO"
"translation release factor activity, codon nonspecific","MRPL58","GO"
"translation release factor activity, codon specific","MTRF1L,MTRF1,ETF1","GO"
"translation termination factor activity","ETF1","GO"
"translational elongation","EEF1A1P5,TUFM,EIF5A,EEF1G,EEF2,RPLP1,ABTB1,TSFM,EFL1,EEF1B2,GTPBP1,EEF1A2,EEF2K,EIF5AL1,EFTUD2,GTPBP2,EIF5A2,EEF1A1,EEF1DP3,EEF1D","GO"
"translational initiation","EIF3L,MTFMT,EIF2B4,EIF3J,EIF3G,EIF4G3,EIF2B2,EIF3C,LTO1,DDX3X,EIF3F,COPS5,EIF3A,EIF4A1,AGO2,EIF4G1,EIF3K,EIF2S3,PAIP1,EIF1,EIF4E3,EIF2A,RPS3,EIF1AD,EIF3E,RPS17,EIF2S1,EIF2S2,EIF4E1B,EIF1AX,EIF4A2,EIF2B1,EIF2B3,EIF3B,EIF3CL,EIF4B,EIF1AY,EIF4E,EIF3M,EIF4H,RPS3A,ABCE1,EIF6,EIF3I,EIF2B5,EIF3H,EIF3D,RPS5,EIF4G2,DHX33,EIF4E2,EIF5B,EIF1B,LARP1","GO"
"translational termination","GSPT1,MTRFR,ETF1,APEH,GSPT2,ABCE1","GO"
"translesion synthesis","PCNA,FAAP20,VCP,ZBTB1,USP10,SPRTN,POLN,DTL,POLI,PARP10,PCLAF,PRIMPOL,USP43","GO"
"transsulfuration","MPST,CBS,MTHFD1,CTH","GO"
"trehalose catabolic process","TREH","GO"
"trehalose metabolic process","TREH","GO"
"trehalose metabolism in response to stress","BRAF","GO"
"tricarboxylic acid cycle","OGDHL,DHTKD1,SUCLG2,CS,IDH3B,DLAT,IDH2,PDHB,DLST,ACLY,IDH3A,ACO1,MDH1,MRPS36,PDHA1,OGDH,SDHAF2,SDHD,SUCLA2,SDHB,NDP,SDHC,SUCLG1,ACO2,IREB2,IDH3G,SDHA,NNT,MDH2,IDH1,MDH1B,FH,PDHA2","GO"
"tricarboxylic acid metabolic process","SLC34A1,ACACB,SIRT4,GLUD1,PCK1","GO"
"triglyceride acyl-chain remodeling","PNPLA3","GO"
"triglyceride biosynthetic process","GK,GPAT3,MOGAT2,LPIN1,DGAT2,LPGAT1,LPIN2,MOGAT1,GPAM,ACSL1,GPAT4,GPAT2,GNPAT,AGPAT2,DGAT1,LPIN3,PNPLA3,MOGAT3,AGMO","GO"
"triglyceride catabolic process","PNPLA2,MGLL,DDHD2,CPS1,LIPE,LIPC,PNPLA5,PNPLA1,PLB1,LPL,APOA5,LIPG,PNPLA4,APOB,PNLIPRP2,PNPLA3,APOC3,GPIHBP1","GO"
"triglyceride metabolic process","LIPF,GPX1,PTPN11,GK,APOE,NKX2-3,INSIG2,PCSK9,GK2,GK3,APOBR,SEL1L,SLC22A4,G6PC1,CPT1A,PLAAT3,CETP,LPL,MTTP,LIPA,APOA5,TNXB,APOBEC1,CAV1,CAV3,LMF1,GK5,APOH,DGAT1,PNLIPRP2,APOC3,APOC1,APOA2,CAT,INSIG1","GO"
"triglyceride mobilization","SIRT1,LPIN1,APOB","GO"
"trimming of terminal mannose on B branch","MAN1B1,EDEM2","GO"
"triterpenoid biosynthetic process","LSS","GO"
"trypsinogen activation","CUZD1","GO"
"tryptophan catabolic process","ACMSD,KMO,HAAO,IDO1,IL4I1,KYNU","GO"
"tryptophan catabolic process to acetyl-CoA","TDO2","GO"
"tryptophan catabolic process to indole-3-acetate","IL4I1","GO"
"tryptophan catabolic process to kynurenine","TDO2,AFMID,IDO1,KYNU,IDO2","GO"
"tryptophan metabolic process","GCDH,ATP7A","GO"
"tryptophanyl-tRNA aminoacylation","WARS1","GO"
"tubulin deacetylation","SIRT2,HDAC6,FLNA","GO"
"type II site-specific deoxyribonuclease activity","O00370","GO"
"type III interferon production","TLR3","GO"
"tyrosine biosynthetic process","PAH","GO"
"tyrosine biosynthetic process, by oxidation of phenylalanine","PCBD2,PAH,PCBD1","GO"
"tyrosine catabolic process","TAT,GSTZ1,HGD,FAH,IL4I1,HPD","GO"
"tyrosine metabolic process","THAP4,TTC36,IYD","GO"
"tyrosine phosphorylation of STAT protein","IL15,JAK3,JAK1,IFNL4,JAK2,FER,PTK6,IL21,LEP","GO"
"tyrosyl-tRNA aminoacylation","YARS1","GO"
"ubiquinol-cytochrome-c reductase activity","UQCRFS1,MT-CYB,UQCR10,CYC1,UQCRH,UQCRC1,UQCRFS1P1","GO"
"ubiquinone biosynthetic process","COQ5,COQ8A,COQ2,COQ6,COQ4,COQ8B,FDXR,COQ7,UBIAD1,PDSS2,COQ3,COQ10A,COQ10B,COQ9,PDSS1","GO"
"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate","UBIAD1","GO"
"ubiquinone metabolic process","NQO1,AIFM2","GO"
"ubiquinone-6 biosynthetic process","NDUFA9","GO"
"ubiquitin activating enzyme activity","UBA1,SAE1,NAE1,UBA6","GO"
"ubiquitin-dependent ERAD pathway","CANX,TMEM67,ERLIN1,UBQLN2,FBXO27,FAF2,SGTA,CALR,YOD1,UBQLN1,MAN1B1,ERLEC1,TMUB2,UBE4A,WFS1,DNAJC10,RNF103,USP19,VCP,SEC61B,AMFR,PSMC6,FBXO17,CCDC47,FBXO2,SEL1L,FAM8A1,DNAJB9,UBE2G2,TMEM129,FBXO44,UBE2J1,UBE2J2,TRIM25,EDEM1,HSP90B1,RNF175,AUP1,HSPA5,UFD1,ERLIN2,FOXRED2,STT3B,HERPUD1,BAG6,TRIM13,TMUB1,CLGN,RNF185,UBXN8,UBXN4,RNF5,SYVN1,RHBDD2,MARCHF6,JKAMP,UBXN10,DERL2,ANKZF1,UBE4B,RNF121,ECPAS,SELENOS,FBXO6,UMOD,FAF1,STUB1,CALR3,DERL3,NCCRP1,MAN1A1,DERL1,NPLOC4,OS9,DNAJB2","GO"
"ubiquitin-dependent glycoprotein ERAD pathway","EDEM1,EDEM2","GO"
"ubiquitin-dependent protein catabolic process","DDB1,UBE2A,CDC34,RBX1,UBE2D2,UCHL5,CUL7,FBXO45,RNF123,UBQLN3,ATXN3,RNF20,RNF215,ARRB1,KLHL25,RNF11,SPSB1,SIAH2,UBE2L5,XBP1,UBA1,FBXL4,RNF26,SPSB2,MYLIP,RNF8,RNF213,RNF128,UBE2D1,RNF130,CACUL1,UBE2I,UBE3C,ELOC,KEAP1,RNF19B,UBD,UBE4A,PSMF1,UBQLN4,RC3H1,TP53INP2,FBXO11,PSMD9,CUL9,UBE3B,RNF144B,NDFIP1,ZNRF4,KLHL22,KCTD6,RNF149,AMFR,ITCH,HERC5,ARK2N,UBE2D4,USP38,PSMC2,CBLC,TRIM58,NUB1,KLHL3,ARIH1,CHFR,RNF125,RNF114,FBXO22,NTAN1,TRIP12,MARVELD3,SPSB4,RNF166,FBXL7,BTRC,CDC23,FBXO10,RNF14,RNF6,FBXW4,ARIH2,CNOT4,PSMD3,RC3H2,RNF25,HUWE1,PSMD11,MKRN2,PSMD14,UBE2L6,UBE2Z,UBE2G2,RNF34,RBBP6,NAE1,RNF7,ARRDC1,UBA6,NEDD4,KLHL8,ANKIB1,MDM2,DTL,UCHL3,BFAR,UBE2R2,TTC3,MIB1,BAP1,TRIM25,WDR81,RNF19A,ASB2,WDR91,FBXO7,RNF13,FBXL14,DTX3L,KCTD21,RNF148,PSMA8,SMURF2,RFFL,UBE2C,GET4,NEDD8,UBL4A,TAF1,CCAR1,PRKN,CUL4B,CUL3,RNF133,UBE2E1,RNF168,FBXO21,UBQLNL,HACE1,UFD1,USP33,UBE3A,RPGR,UBE2B,TRPC4AP,SMURF1,TOLLIP,HERC3,HERPUD1,BAG6,RNF43,UBR4,RLIM,TRIM32,ANAPC11,UHRF1,RNF185,HERC6,RNF217,RNF5,SYVN1,RNF144A,KLHL15,RNF146,UBE4B,COPS3,RNF40,FEM1C,ZNRF3,UBE2S,KCTD10,RNF150,DCST1,HERC4,WDR77,FBXO8,CBL,PSMD13,STUB1,FEM1A,NEDD4L,NDFIP2,RCHY1,AREL1,SQSTM1,PINK1,UBE2L3,RNF126,HECW2,UBR3,UBE2K,UBL7,UBE2D3,PPP1R11,HECW1,LNX1,SIAH1,NPLOC4,TRIM31,DISC1,RNF167,RNF111,TOPORS,OS9,UBE2H,UBE2G1","GO"
"ubiquitin-dependent protein catabolic process via the C-end degron rule pathway","RBX1,KLHDC2,FEM1B,KLHDC1,CUL4A,CUL2,TRPC4AP,DCAF12,KLHDC10,FEM1C,KLHDC3,FEM1A","GO"
"ubiquitin-dependent protein catabolic process via the N-end rule pathway","UBR2,UBR1,UBR3","GO"
"ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","RNF115,PLAA,TOM1L1,CHMP3,CHMP6,CHMP2A,MVB12B,VPS4B,VPS37D,UBAP1L,CHMP4BP1,CHMP4B,CHMP4C,VPS37A,MVB12A,VPS37C,CHMP1B,CHMP5,CHMP1A,NEDD4,VPS4A,VPS28,UBAP1,HDAC6,TSG101,CHMP7,VPS37B,CHMP2B,PTPN23,CHMP4A,RNF126","GO"
"ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway","VPS4B,PDCD6IP,CHMP4B,CHMP4C,VPS4A","GO"
"unsaturated fatty acid biosynthetic process","FADS3,FADS2,SCD,ELOVL2,ELOVL6,ELOVL7,ELOVL5,ELOVL4,DEGS1,ELOVL1,FADS2B,DECR2,SCD5,ELOVL3,FADS1","GO"
"unsaturated fatty acid metabolic process","ALOX12","GO"
"unsaturated monocarboxylic acid metabolic process","ACOT4","GO"
"uracil catabolic process","DPYS,DPYD","GO"
"uracil metabolic process","TYMS","GO"
"urate biosynthetic process","PNP,PRPS1","GO"
"urate catabolic process","URAD","GO"
"urate metabolic process","CARMIL1,SLC17A1,G6PC1,SLC17A3,GCKR,SLC16A9,SLC22A12,SLC2A9,ABCG2,SLC22A11","GO"
"urea cycle","ASS1,CEBPA,CPS1,SLC25A15,OTC,ARG1,NAGS,ASL,AGMAT,SLC25A2,ARG2","GO"
"urea metabolic process","CYP2C9","GO"
"uridine catabolic process","UPP1,UPP2","GO"
"uridine kinase activity","UCK1,UCKL1,CMPK1,UCK2","GO"
"uridine metabolic process","UPP2","GO"
"uroporphyrinogen III biosynthetic process","UROS","GO"
"vacuolar protein processing","TMEM208,LGMN","GO"
"valine biosynthetic process","ILVBL,BCAT2,BCAT1","GO"
"valine catabolic process","ACAD8,ALDH6A1,HIBADH,HIBCH","GO"
"valine metabolic process","ALDH6A1","GO"
"valyl-tRNA aminoacylation","VARS1,VARS2","GO"
"vascular endothelial growth factor production","ADGRG1,HIF1A,TNF,IL1B,IL6,IL6R,ADAMTS3","GO"
"very long-chain fatty acid beta-oxidation","ACOX1","GO"
"very long-chain fatty acid biosynthetic process","HACD4,HACD2,TECRL,HACD1,ELOVL2,ELOVL6,ELOVL7,ELOVL5,ELOVL4,TECR,ELOVL1,HACD3,ELOVL3","GO"
"very long-chain fatty acid catabolic process","ABCD3,ABCD4,ABCD2,ABCD1","GO"
"very long-chain fatty acid metabolic process","ACSBG1,ACOT2,ABCD3,HSD17B4,PEX5,CYP4F12,ABCD2,ACSL6,SLC27A5,SLC27A6,ACOT4,ACSL1,ABCD1,PEX2,ACOX2,ACOT1,ACOX1,ACAA1,CYP4F2","GO"
"very long-chain fatty-acyl-CoA catabolic process","ABCD1","GO"
"very long-chain fatty-acyl-CoA metabolic process","HSD17B4","GO"
"viral RNA genome replication","PCBP2,PCBP1","GO"
"vitamin A biosynthetic process","BCO1","GO"
"vitamin A metabolic process","RPE65,LRAT,ALDH1A2,RBP2,LIPA,RBP1,RLBP1","GO"
"vitamin D catabolic process","CYP27B1,CYP24A1,CYP3A4,FGF23","GO"
"vitamin D metabolic process","CYP2R1,CYP1A1,CYP11A1,PIAS4,CYP27B1,CYP24A1,CYP3A4,LGMN,GC,LRP2","GO"
"vitamin D3 25-hydroxylase activity","CYP2R1,CYP27A1,CYP3A4","GO"
"vitamin D3 metabolic process","UGT1A4,UGT1A3,FGFR1","GO"
"vitamin E biosynthetic process","PLTP","GO"
"vitamin E metabolic process","NPC1L1,CYP4F12,NQO1,TTPA,CYP4F2","GO"
"vitamin K biosynthetic process","UBIAD1","GO"
"vitamin K catabolic process","CYP4F11,CYP4F2","GO"
"vitamin K metabolic process","GGCX,NQO1,AIFM2,VKORC1L1,CBR1,UBIAD1,VKORC1","GO"
"vitamin metabolic process","CYP2R1,CYP26A1,CYP27B1,CYP24A1,CYP26C1,CYP26B1","GO"
"wax biosynthetic process","FAR1,AWAT2,AWAT1,FAR2","GO"
"wobble position ribose methylation","WDR6,FTSJ1","GO"
"wybutosine biosynthetic process","TYW5,TRMT12,LCMT2,TYW1,TYW1B,TYW3","GO"
"xanthine biosynthetic process","ADA","GO"
"xanthine catabolic process","XDH","GO"
"xanthophyll catabolic process","BCO2","GO"
"xenobiotic catabolic process","CYP2D6,CYP2C8,CYP3A5,GSTM2,CYP2B6,CRYZ,CYP1A2,CYP2C19,NUDT15,CYP2A6,ACSL1,NR1I2,CYP3A4,CYP2D7,TPMT,GSTO1,FMO4,GSTM3,GSTM1,GSTM4,NOS1,CYP2C9","GO"
"xenobiotic glucuronidation","UGT1A1,UGT2B11,UGT1A3,UGT1A9,UGT2B28,UGT1A8,UGT1A7","GO"
"xenobiotic metabolic process","CYP2D6,CYP2C8,A0A1B0GTQ1,CBR3,CYP2A13,CYP1B1,CYP2A7,EPHX1,CYP3A5,CYP2R1,AKR1C1,AOX1,SULT1B1,CAD,FMO5,UGT2B17,UGT1A1,SLC28A2,UGT2B11,CYP46A1,CMBL,NAT2,SLC22A1,UGT2B7,GSTA1,CYP4F12,SLCO2B1,CYP2W1,SULT1A2,SULT1A1,CYP1A1,ACSM1,ABCB11,GLYAT,NQO1,SULT1A3,CYP26A1,CYB5B,ALDH3A1,AOC2,SLCO1B1,S100A12,CYP2B6,UGT1A3,ABCC3,ABCC4,CYP2E1,SLCO1B3,CYP1A2,AHR,ABCB1,GSTA5,BPHL,CYP2C19,CYP2C18,UGT2B15,HNF4A,RORA,CES2,POR,CYP2A6,BCHE,NR1I2,CYP3A4,CYP2D7,ABCC1,TPMT,CES3,CBR1,CYP2J2,SLC29A3,CYP2F1,SLC22A7,SLC29A1,ABCC2,FMO2,AIP,SULT1C3,ABCC5,CYP3A7,GSTA4,FMO1,SMOX,NCEH1,CYP2S1,RORC,SLCO1A2,UGT1A6,AADAC,CYP26B1,UGT1A9,GSTP1,GSTA2,SULT2A1,GUK1,GSTA3,ADA,SULT1C4,VKORC1,GSTO2,CYP4F2,ACSM2B,UGT1A10,UGT1A7,SLC28A3,CYP2U1,CYP2C9,NAT1","GO"
"xenophagy","RNF213,ATG16L1,LGALS8,MAPK3,WIPI2,NOD1,CALCOCO2,NOD2,RIPK2","GO"
"xylulokinase activity","XYLB","GO"
"xylulose 5-phosphate biosynthetic process","TKT","GO"
"xylulose catabolic process","XYLB","GO"
"xylulose metabolic process","XYLB,DCXR","GO"
"zeaxanthin biosynthetic process","RPE65","GO"
"zeaxanthin catabolic process","BCO2","GO"
"zymogen activation","HGFAC,OMA1,F12,F9,C1R,THBD,CD5L,MASP1,CTSH,CTSL,PRSS3,KLKB1,KLK1,FURIN,PRSS12,GGT2P,GGT1,VSIR,MMP14,C1RL","GO"
"HALLMARK_ADIPOGENESIS","ABCA1,ABCB8,ACAA2,ACADL,ACADM,ACADS,ACLY,ACO2,ACOX1,ADCY6,ADIG,ADIPOQ,ADIPOR2,AGPAT3,AIFM1,AK2,ALDH2,ALDOA,ANGPT1,ANGPTL4,APLP2,APOE,ARAF,ARL4A,ATL2,ATP1B3,ATP5PO,BAZ2A,BCKDHA,BCL2L13,BCL6,C3,CAT,CAVIN1,CAVIN2,CCNG2,CD151,CD302,CD36,CDKN2C,CHCHD10,CHUK,CIDEA,CMBL,CMPK1,COL15A1,COL4A1,COQ3,COQ5,COQ9,COX6A1,COX7B,COX8A,CPT2,CRAT,CS,CYC1,CYP4B1,DBT,DDT,DECR1,DGAT1,DHCR7,DHRS7,DHRS7B,DLAT,DLD,DNAJB9,DNAJC15,DRAM2,ECH1,ECHS1,ELMOD3,ELOVL6,ENPP2,EPHX2,ESRRA,ESYT1,ETFB,FABP4,FAH,FZD4,G3BP2,GADD45A,GBE1,GHITM,GPAM,GPAT4,GPD2,GPHN,GPX3,GPX4,GRPEL1,HADH,HIBCH,HSPB8,IDH1,IDH3A,IDH3G,IFNGR1,IMMT,ITGA7,ITIH5,ITSN1,JAGN1,LAMA4,LEP,LIFR,LIPE,LPCAT3,LPL,LTC4S,MAP4K3,MCCC1,MDH2,ME1,MGLL,MGST3,MIGA2,MRAP,MRPL15,MTARC2,MTCH2,MYLK,NABP1,NDUFA5,NDUFAB1,NDUFB7,NDUFS3,NKIRAS1,NMT1,OMD,ORM1,PDCD4,PEMT,PEX14,PFKFB3,PFKL,PGM1,PHLDB1,PHYH,PIM3,PLIN2,POR,PPARG,PPM1B,PPP1R15B,PRDX3,PREB,PTCD3,PTGER3,QDPR,RAB34,REEP5,REEP6,RETN,RETSAT,RIOK3,RMDN3,RNF11,RREB1,RTN3,SAMM50,SCARB1,SCP2,SDHB,SDHC,SLC19A1,SLC1A5,SLC25A1,SLC25A10,SLC27A1,SLC5A6,SLC66A3,SNCG,SOD1,SORBS1,SOWAHC,SPARCL1,SQOR,SSPN,STAT5A,STOM,SUCLG1,SULT1A1,TALDO1,TANK,TKT,TOB1,TST,UBC,UBQLN1,UCK1,UCP2,UQCR10,UQCR11,UQCRC1,UQCRQ,VEGFB,YWHAG","Hallmark"
